選手名,球団,ポジション,投,打
オースティン,DeNA,外野手,右,右
乙坂 智,DeNA,外野手,右,左
蝦名 達夫,DeNA,外野手,右,右
関根 大気,DeNA,外野手,左,左
宮本 秀明,DeNA,外野手,右,左
桑原 将志,DeNA,外野手,右,右
佐野 恵太,DeNA,外野手,右,左
細川 成也,DeNA,外野手,右,右
神里 和毅,DeNA,外野手,右,左
楠本 泰史,DeNA,外野手,右,左
梶原 昂希,DeNA,外野手,右,左
村川 凪,DeNA,外野手,右,左
大橋 武尊,DeNA,外野手,左,左
小針 大輝,DeNA,外野手,左,左
度会 隆輝,DeNA,外野手,右,左
筒香 嘉智,DeNA,外野手,右,左
エスコバー,DeNA,投手,左,左
コルデロ,DeNA,投手,左,左
シャッケルフォード,DeNA,投手,右,右
スターリン,DeNA,投手,右,右
ディアス,DeNA,投手,左,左
ピープルズ,DeNA,投手,右,右
ロメロ,DeNA,投手,右,右
伊勢 大夢,DeNA,投手,右,右
加藤 大,DeNA,投手,右,右
笠井 崇正,DeNA,投手,右,右
宮城 滝太,DeNA,投手,右,右
宮國 椋丞,DeNA,投手,右,右
京山 将弥,DeNA,投手,右,右
今永 昇太,DeNA,投手,左,左
砂田 毅樹,DeNA,投手,左,左
坂本 裕哉,DeNA,投手,左,左
阪口 皓亮,DeNA,投手,右,左
三上 朋也,DeNA,投手,右,右
三嶋 一輝,DeNA,投手,右,両
山﨑 康晃,DeNA,投手,右,右
勝又 温史,DeNA,投手,右,左
松本 隆之介,DeNA,投手,左,左
上茶谷 大河,DeNA,投手,右,右
進藤 拓也,DeNA,投手,右,右
石川 達也,DeNA,投手,左,右
石田 健大,DeNA,投手,左,左
浅田 将汰,DeNA,投手,右,右
大貫 晋一,DeNA,投手,右,右
池谷 蒼大,DeNA,投手,左,左
中川 虎大,DeNA,投手,右,右
田中 健二朗,DeNA,投手,左,左
東 克樹,DeNA,投手,左,左
入江 大生,DeNA,投手,右,右
飯塚 悟史,DeNA,投手,右,左
武藤 祐太,DeNA,投手,右,右
風張 蓮,DeNA,投手,右,右
平田 真吾,DeNA,投手,右,右
平良 拳太郎,DeNA,投手,右,右
有吉 優樹,DeNA,投手,右,右
櫻井 周斗,DeNA,投手,左,左
齋藤 俊介,DeNA,投手,右,右
濵口 遥大,DeNA,投手,左,左
髙田 琢登,DeNA,投手,左,左
ガゼルマン,DeNA,投手,右,右
クリスキー,DeNA,投手,右,右
マルセリーノ,DeNA,投手,右,右
三浦 銀二,DeNA,投手,右,右
小園 健太,DeNA,投手,右,右
森原 康平,DeNA,投手,右,左
深沢 鳳介,DeNA,投手,右,右
徳山 壮磨,DeNA,投手,右,右
ウィック,DeNA,投手,右,左
ケイ,DeNA,投手,左,左
ジャクソン,DeNA,投手,右,右
吉岡 暖,DeNA,投手,右,右
吉野 光樹,DeNA,投手,右,右
橋本 達弥,DeNA,投手,右,右
金渕 光希,DeNA,投手,左,左
今野 瑠斗,DeNA,投手,右,右
坂口 翔颯,DeNA,投手,右,右
篠木 健太郎,DeNA,投手,右,左
若松 尚輝,DeNA,投手,右,右
庄司 陽斗,DeNA,投手,左,左
松本 凌人,DeNA,投手,右,右
森下 瑠大,DeNA,投手,左,左
清水 麻成,DeNA,投手,右,右
石田 裕太郎,DeNA,投手,右,右
草野 陽斗,DeNA,投手,右,右
竹田 祐,DeNA,投手,右,右
武田 陸玖,DeNA,投手,左,左
颯,DeNA,投手,右,左
ソト,DeNA,内野手,右,右
デラロサ,DeNA,内野手,右,両
伊藤 裕季也,DeNA,内野手,右,右
宮﨑 敏郎,DeNA,内野手,右,右
山下 幸輝,DeNA,内野手,右,左
柴田 竜拓,DeNA,内野手,右,左
小深田 大地,DeNA,内野手,右,左
森 敬斗,DeNA,内野手,右,左
倉本 寿彦,DeNA,内野手,右,左
大和,DeNA,内野手,右,右
知野 直人,DeNA,内野手,右,右
中井 大介,DeNA,内野手,右,右
田中 俊太,DeNA,内野手,右,左
田部 隼人,DeNA,内野手,右,右
牧 秀悟,DeNA,内野手,右,右
粟飯原 龍之介,DeNA,内野手,右,左
藤田 一也,DeNA,内野手,右,左
フォード,DeNA,内野手,右,左
井上 絢登,DeNA,内野手,右,左
加藤 響,DeNA,内野手,右,右
高見澤 郁魅,DeNA,内野手,右,左
小笠原 蒼,DeNA,内野手,右,左
石上 泰輝,DeNA,内野手,右,左
田内 真翔,DeNA,内野手,右,右
林 琢真,DeNA,内野手,右,左
蓮,DeNA,内野手,右,右
伊藤 光,DeNA,捕手,右,右
益子 京右,DeNA,捕手,右,右
戸柱 恭孝,DeNA,捕手,右,左
山本 祐大,DeNA,捕手,右,右
東妻 純平,DeNA,捕手,右,右
嶺井 博希,DeNA,捕手,右,右
髙城 俊人,DeNA,捕手,右,右
東出 直也,DeNA,捕手,右,右
近藤 大雅,DeNA,捕手,右,右
松尾 汐恩,DeNA,捕手,右,右
上甲 凌大,DeNA,捕手,右,左
T-岡田,オリックス,外野手,左,左
ジョーンズ,オリックス,外野手,右,右
モヤ,オリックス,外野手,右,左
吉田 正尚,オリックス,外野手,右,左
元 謙太,オリックス,外野手,右,右
後藤 駿太,オリックス,外野手,右,左
佐藤 優悟,オリックス,外野手,右,右
佐野 如一,オリックス,外野手,右,左
佐野 皓大,オリックス,外野手,右,両
宗 佑磨,オリックス,外野手,右,左
小田 裕也,オリックス,外野手,右,左
杉本 裕太郎,オリックス,外野手,右,右
西浦 颯大,オリックス,外野手,右,左
西村 凌,オリックス,外野手,右,右
田城 飛翔,オリックス,外野手,右,左
平野 大和,オリックス,外野手,右,右
来田 涼斗,オリックス,外野手,右,左
トーマス,オリックス,外野手,右,左
山中 尭之,オリックス,外野手,右,右
寺本 聖一,オリックス,外野手,右,左
杉澤 龍,オリックス,外野手,右,左
池田 陵真,オリックス,外野手,右,右
茶野 篤政,オリックス,外野手,右,左
渡部 遼人,オリックス,外野手,左,左
麦谷 祐介,オリックス,外野手,右,左
オリバレス,オリックス,外野手,右,右
K-鈴木,オリックス,投手,右,右
スパークマン,オリックス,投手,右,右
バルガス,オリックス,投手,右,右
ヒギンス,オリックス,投手,右,右
阿部 翔太,オリックス,投手,右,左
宇田川 優希,オリックス,投手,右,右
海田 智行,オリックス,投手,左,左
吉田 一将,オリックス,投手,右,左
吉田 凌,オリックス,投手,右,右
宮城 大弥,オリックス,投手,左,左
近藤 大亮,オリックス,投手,右,右
金田 和之,オリックス,投手,右,右
荒西 祐大,オリックス,投手,右,右
黒木 優太,オリックス,投手,右,左
佐藤 一磨,オリックス,投手,左,左
榊原 翼,オリックス,投手,右,右
山岡 泰輔,オリックス,投手,右,左
山下 舜平大,オリックス,投手,右,右
山田 修義,オリックス,投手,左,左
山本 由伸,オリックス,投手,右,右
山﨑 福也,オリックス,投手,左,左
山﨑 颯一郎,オリックス,投手,右,右
漆原 大晟,オリックス,投手,右,左
松山 真之,オリックス,投手,右,右
神戸 文也,オリックス,投手,右,右
川瀬 堅斗,オリックス,投手,右,右
前 佑囲斗,オリックス,投手,右,右
増井 浩俊,オリックス,投手,右,右
村西 良太,オリックス,投手,右,左
谷岡 楓太,オリックス,投手,右,右
竹安 大知,オリックス,投手,右,右
中川 颯,オリックス,投手,右,左
中田 惟斗,オリックス,投手,右,右
張 奕,オリックス,投手,右,右
辻垣 高良,オリックス,投手,左,左
田嶋 大樹,オリックス,投手,左,左
東 晃平,オリックス,投手,右,右
能見 篤史,オリックス,投手,左,左
飯田 優也,オリックス,投手,左,左
比嘉 幹貴,オリックス,投手,右,右
富山 凌雅,オリックス,投手,左,左
平野 佳寿,オリックス,投手,右,右
本田 仁海,オリックス,投手,右,左
鈴木 優,オリックス,投手,右,右
澤田 圭佑,オリックス,投手,右,左
齋藤 綱記,オリックス,投手,左,左
エスピノーザ,オリックス,投手,右,右
カスティーヨ,オリックス,投手,右,右
マチャド,オリックス,投手,右,右
芦田 丈飛,オリックス,投手,右,右
横山 楓,オリックス,投手,右,両
河内 康介,オリックス,投手,右,右
宮國 凌空,オリックス,投手,右,右
権田 琉成,オリックス,投手,右,右
古田島 成龍,オリックス,投手,右,右
才木 海翔,オリックス,投手,右,右
寿賀 弘都,オリックス,投手,左,左
小木田 敦也,オリックス,投手,右,右
曽谷 龍平,オリックス,投手,左,左
大江 海透,オリックス,投手,左,左
東松 快征,オリックス,投手,左,左
入山 海斗,オリックス,投手,右,右
博志,オリックス,投手,右,右
椋木 蓮,オリックス,投手,右,右
齋藤 響介,オリックス,投手,右,右
髙島 泰都,オリックス,投手,右,右
乾 健斗,オリックス,投手,右,右
山口 廉王,オリックス,投手,右,右
寺西 成騎,オリックス,投手,右,右
上原 堆我,オリックス,投手,右,右
陳 睦衡,オリックス,投手,右,左
東山 玲士,オリックス,投手,右,右
片山 楽生,オリックス,投手,右,左
ラベロ,オリックス,内野手,右,右
安達 了一,オリックス,内野手,右,右
岡﨑 大輔,オリックス,内野手,右,左
宜保 翔,オリックス,内野手,右,左
古長 拓,オリックス,内野手,右,右
紅林 弘太郎,オリックス,内野手,右,右
山足 達也,オリックス,内野手,右,右
勝俣 翔貴,オリックス,内野手,右,左
西野 真弘,オリックス,内野手,右,左
太田 椋,オリックス,内野手,右,右
大下 誠一郎,オリックス,内野手,右,右
大城 滉二,オリックス,内野手,右,右
中川 圭太,オリックス,内野手,右,右
福田 周平,オリックス,内野手,右,左
廣澤 伸哉,オリックス,内野手,右,右
ゴンザレス,オリックス,内野手,右,両
横山 聖哉,オリックス,内野手,右,左
河野 聡太,オリックス,内野手,右,左
今坂 幸暉,オリックス,内野手,右,左
清水 武蔵,オリックス,内野手,右,右
大里 昂生,オリックス,内野手,右,左
内藤 鵬,オリックス,内野手,右,右
野口 智哉,オリックス,内野手,右,左
デール,オリックス,内野手,右,右
フェリペ,オリックス,捕手,右,右
稲富 宏樹,オリックス,捕手,右,左
若月 健矢,オリックス,捕手,右,右
松井 雅人,オリックス,捕手,右,左
中川 拓真,オリックス,捕手,右,右
釣 寿生,オリックス,捕手,右,右
鶴見 凌也,オリックス,捕手,右,右
頓宮 裕真,オリックス,捕手,右,右
伏見 寅威,オリックス,捕手,右,右
山中 稜真,オリックス,捕手,右,左
村上 喬一朗,オリックス,捕手,右,右
田島 光祐,オリックス,捕手,右,右
福永 奨,オリックス,捕手,右,右
堀 柊那,オリックス,捕手,右,右
アルバレス,ソフトバンク,外野手,右,右
デスパイネ,ソフトバンク,外野手,右,右
釜元 豪,ソフトバンク,外野手,右,左
佐藤 直樹,ソフトバンク,外野手,右,右
笹川 吉康,ソフトバンク,外野手,左,左
舟越 秀虎,ソフトバンク,外野手,右,右
上林 誠知,ソフトバンク,外野手,右,左
真砂 勇介,ソフトバンク,外野手,右,右
水谷 瞬,ソフトバンク,外野手,右,右
早 真之介,ソフトバンク,外野手,左,左
中村 宜聖,ソフトバンク,外野手,右,右
中村 晃,ソフトバンク,外野手,左,左
中谷 将大,ソフトバンク,外野手,右,右
柳町 達,ソフトバンク,外野手,右,左
柳田 悠岐,ソフトバンク,外野手,右,左
オスーナ,ソフトバンク,外野手,右,右
シモン,ソフトバンク,外野手,右,右
漁府 輝羽,ソフトバンク,外野手,右,右
佐藤 航太,ソフトバンク,外野手,右,右
山本 恵大,ソフトバンク,外野手,右,左
重松 凱人,ソフトバンク,外野手,右,右
正木 智也,ソフトバンク,外野手,右,右
生海,ソフトバンク,外野手,右,左
川村 友斗,ソフトバンク,外野手,右,左
大泉 周也,ソフトバンク,外野手,左,左
木下 勇人,ソフトバンク,外野手,右,左
サファテ,ソフトバンク,投手,右,右
スチュワート・ジュニア,ソフトバンク,投手,右,右
マルティネス,ソフトバンク,投手,右,左
モイネロ,ソフトバンク,投手,左,左
ロドリゲス,ソフトバンク,投手,右,右
奥村 政稔,ソフトバンク,投手,右,右
岡本 直也,ソフトバンク,投手,左,左
嘉弥真 新也,ソフトバンク,投手,左,左
笠谷 俊介,ソフトバンク,投手,左,左
岩嵜 翔,ソフトバンク,投手,右,右
吉住 晴斗,ソフトバンク,投手,右,右
桑原 秀侍,ソフトバンク,投手,右,右
古谷 優人,ソフトバンク,投手,左,左
甲斐野 央,ソフトバンク,投手,右,左
高橋 礼,ソフトバンク,投手,右,右
佐藤 宏樹,ソフトバンク,投手,左,左
重田 倫明,ソフトバンク,投手,右,右
松本 裕樹,ソフトバンク,投手,右,左
森 唯斗,ソフトバンク,投手,右,右
杉山 一樹,ソフトバンク,投手,右,右
石川 柊太,ソフトバンク,投手,右,右
千賀 滉大,ソフトバンク,投手,右,左
川原 弘之,ソフトバンク,投手,左,左
泉 圭輔,ソフトバンク,投手,右,右
村上 舜,ソフトバンク,投手,左,左
大関 友久,ソフトバンク,投手,左,左
大城 真乃,ソフトバンク,投手,左,左
大竹 耕太郎,ソフトバンク,投手,左,左
中村 亮太,ソフトバンク,投手,右,右
中道 佑哉,ソフトバンク,投手,左,左
津森 宥紀,ソフトバンク,投手,右,右
椎野 新,ソフトバンク,投手,右,右
田浦 文丸,ソフトバンク,投手,左,左
田上 奏大,ソフトバンク,投手,右,左
田中 正義,ソフトバンク,投手,右,右
渡邉 雄大,ソフトバンク,投手,左,左
東浜 巨,ソフトバンク,投手,右,右
板東 湧梧,ソフトバンク,投手,右,右
尾形 崇斗,ソフトバンク,投手,右,左
武田 翔太,ソフトバンク,投手,右,右
和田 毅,ソフトバンク,投手,左,左
髙橋 純平,ソフトバンク,投手,右,右
アルメンタ,ソフトバンク,投手,左,左
サルディ,ソフトバンク,投手,左,左
ハモンド,ソフトバンク,投手,右,右
フェリックス,ソフトバンク,投手,右,右
ヘルナンデス,ソフトバンク,投手,左,左
井﨑 燦志郎,ソフトバンク,投手,右,右
岡植 純平,ソフトバンク,投手,右,右
加藤 洸稀,ソフトバンク,投手,左,左
岩井 俊介,ソフトバンク,投手,右,右
宮里 優吾,ソフトバンク,投手,右,右
宮﨑 颯,ソフトバンク,投手,左,左
佐々木 明都,ソフトバンク,投手,右,右
山崎 琢磨,ソフトバンク,投手,右,左
松本 晴,ソフトバンク,投手,左,左
水口 創太,ソフトバンク,投手,右,右
星野 恒太朗,ソフトバンク,投手,右,右
赤羽 蓮,ソフトバンク,投手,右,右
前田 純,ソフトバンク,投手,左,左
前田 悠伍,ソフトバンク,投手,左,左
村田 賢一,ソフトバンク,投手,右,右
大山 凌,ソフトバンク,投手,右,右
大竹 風雅,ソフトバンク,投手,右,左
大津 亮介,ソフトバンク,投手,右,左
大野 稼頭央,ソフトバンク,投手,左,左
瀧本 将生,ソフトバンク,投手,右,右
長水 啓眞,ソフトバンク,投手,左,左
長谷川 威展,ソフトバンク,投手,左,左
渡邊 佑樹,ソフトバンク,投手,左,左
藤井 皓哉,ソフトバンク,投手,右,左
藤原 大翔,ソフトバンク,投手,右,右
藤田 淳平,ソフトバンク,投手,左,左
内野 海斗,ソフトバンク,投手,右,右
飛田 悠成,ソフトバンク,投手,右,左
風間 球打,ソフトバンク,投手,右,左
木村 光,ソフトバンク,投手,右,左
木村 大成,ソフトバンク,投手,左,左
有原 航平,ソフトバンク,投手,右,右
澤柳 亮太郎,ソフトバンク,投手,右,右
安德 駿,ソフトバンク,投手,右,右
塩士 暖,ソフトバンク,投手,右,右
岡田 皓一朗,ソフトバンク,投手,右,右
河野 伸一朗,ソフトバンク,投手,左,左
岩崎 峻典,ソフトバンク,投手,右,右
熊谷 太雅,ソフトバンク,投手,左,左
川口 冬弥,ソフトバンク,投手,右,右
相原 雄太,ソフトバンク,投手,右,右
村上 泰斗,ソフトバンク,投手,右,両
張 峻ウェイ,ソフトバンク,投手,右,右
津嘉山 憲志郎,ソフトバンク,投手,右,右
グラシアル,ソフトバンク,内野手,右,右
リチャード,ソフトバンク,内野手,右,右
伊藤 大将,ソフトバンク,内野手,右,右
井上 朋也,ソフトバンク,内野手,右,右
荒木 翔太,ソフトバンク,内野手,右,右
黒瀬 健太,ソフトバンク,内野手,右,右
今宮 健太,ソフトバンク,内野手,右,右
三森 大貴,ソフトバンク,内野手,右,左
周東 佑京,ソフトバンク,内野手,右,左
緒方 理貢,ソフトバンク,内野手,右,左
勝連 大稀,ソフトバンク,内野手,右,左
小林 珠維,ソフトバンク,内野手,右,右
松田 宣浩,ソフトバンク,内野手,右,右
川原田 純平,ソフトバンク,内野手,右,右
川瀬 晃,ソフトバンク,内野手,右,左
川島 慶三,ソフトバンク,内野手,右,右
増田 珠,ソフトバンク,内野手,右,右
牧原 大成,ソフトバンク,内野手,右,左
明石 健志,ソフトバンク,内野手,右,左
野村 大樹,ソフトバンク,内野手,右,右
髙田 知季,ソフトバンク,内野手,右,左
アルモンテ,ソフトバンク,内野手,右,右
イヒネ イツア,ソフトバンク,内野手,右,左
ダウンズ,ソフトバンク,内野手,右,右
宇野 真仁朗,ソフトバンク,内野手,右,右
広瀬 結煌,ソフトバンク,内野手,右,右
佐久間 拓斗,ソフトバンク,内野手,右,右
佐倉 侠史朗,ソフトバンク,内野手,右,左
三代 祥貴,ソフトバンク,内野手,右,右
山下 恭吾,ソフトバンク,内野手,右,右
庄子 雄大,ソフトバンク,内野手,右,左
西尾 歩真,ソフトバンク,内野手,右,左
石見 颯真,ソフトバンク,内野手,右,左
曽布川 ザイレン,ソフトバンク,内野手,右,右
中澤 恒貴,ソフトバンク,内野手,右,右
藤野 恵音,ソフトバンク,内野手,右,右
野村 勇,ソフトバンク,内野手,右,右
廣瀨 隆太,ソフトバンク,内野手,右,右
ザイレン,ソフトバンク,内野手,右,右
海野 隆司,ソフトバンク,捕手,右,右
居谷 匠真,ソフトバンク,捕手,右,右
九鬼 隆平,ソフトバンク,捕手,右,右
栗原 陵矢,ソフトバンク,捕手,右,左
甲斐 拓也,ソフトバンク,捕手,右,右
石塚 綜一郎,ソフトバンク,捕手,右,右
谷川原 健太,ソフトバンク,捕手,右,左
渡邉 陸,ソフトバンク,捕手,右,左
牧原 巧汰,ソフトバンク,捕手,右,左
髙谷 裕亮,ソフトバンク,捕手,右,左
加藤 晴空,ソフトバンク,捕手,右,左
盛島 稜大,ソフトバンク,捕手,右,右
大友 宗,ソフトバンク,捕手,右,右
藤田 悠太郎,ソフトバンク,捕手,右,右
キブレハン,ヤクルト,外野手,右,
並木 秀尊,ヤクルト,外野手,右,右
サンタナ,ヤクルト,外野手,右,右
モイセエフ ニキータ,ヤクルト,外野手,左,左
塩見 泰隆,ヤクルト,外野手,右,右
丸山 和郁,ヤクルト,外野手,左,左
岩田 幸宏,ヤクルト,外野手,左,左
山崎 晃大朗,ヤクルト,外野手,左,左
青木 宣親,ヤクルト,外野手,右,左
