選手名,球団,年度,ポジション,対左打席数または打数,対左安打数,対左打数,対右打席数または打数,対右安打数,対右打数
オースティン,DeNA,2021,外野手,112,27,95,327,86,278
ソト,DeNA,2021,内野手,121,27,108,329,69,302
伊藤 光,DeNA,2021,捕手,50,7,38,142,27,122
伊藤 裕季也,DeNA,2021,内野手,2,0,2,,,
益子 京右,DeNA,2021,捕手,1,0,1,4,1,4
乙坂 智,DeNA,2021,外野手,3,0,2,17,4,17
蝦名 達夫,DeNA,2021,外野手,13,3,11,8,0,7
関根 大気,DeNA,2021,外野手,20,5,15,119,23,109
宮本 秀明,DeNA,2021,外野手,2,0,2,9,2,8
桑原 将志,DeNA,2021,外野手,172,55,152,398,106,367
戸柱 恭孝,DeNA,2021,捕手,33,9,31,101,19,96
佐野 恵太,DeNA,2021,外野手,183,58,170,431,107,375
細川 成也,DeNA,2021,外野手,29,6,26,15,0,13
山本 祐大,DeNA,2021,捕手,27,3,24,84,10,75
柴田 竜拓,DeNA,2021,内野手,39,5,28,226,47,194
森 敬斗,DeNA,2021,内野手,17,1,16,96,19,87
神里 和毅,DeNA,2021,外野手,22,6,21,95,15,89
倉本 寿彦,DeNA,2021,内野手,14,2,14,60,13,58
大和,DeNA,2021,内野手,97,19,91,194,49,179
中井 大介,DeNA,2021,内野手,10,1,10,5,1,5
楠本 泰史,DeNA,2021,外野手,28,6,25,98,23,89
牧 秀悟,DeNA,2021,内野手,139,45,130,384,108,357
嶺井 博希,DeNA,2021,捕手,39,8,35,41,6,39
髙城 俊人,DeNA,2021,捕手,1,0,0,6,1,4
T-岡田,オリックス,2021,外野手,71,12,59,332,74,298
ジョーンズ,オリックス,2021,外野手,62,14,48,117,22,106
モヤ,オリックス,2021,外野手,83,21,77,290,60,277
ラベロ,オリックス,2021,内野手,,,,7,3,7
安達 了一,オリックス,2021,内野手,103,28,92,279,55,229
宜保 翔,オリックス,2021,内野手,2,0,1,26,4,24
吉田 正尚,オリックス,2021,外野手,132,38,110,317,94,279
後藤 駿太,オリックス,2021,外野手,2,0,2,15,2,14
紅林 弘太郎,オリックス,2021,内野手,94,21,92,379,81,356
佐野 如一,オリックス,2021,外野手,,,,9,0,8
佐野 皓大,オリックス,2021,外野手,51,8,48,36,4,34
山足 達也,オリックス,2021,内野手,10,1,8,29,8,25
若月 健矢,オリックス,2021,捕手,34,7,28,106,18,89
宗 佑磨,オリックス,2021,外野手,120,30,106,422,101,375
勝俣 翔貴,オリックス,2021,内野手,,,,1,0,1
小田 裕也,オリックス,2021,外野手,2,0,1,16,1,14
松井 雅人,オリックス,2021,捕手,,,,7,0,7
杉本 裕太郎,オリックス,2021,外野手,125,33,106,415,111,372
西村 凌,オリックス,2021,外野手,9,1,8,36,8,34
西野 真弘,オリックス,2021,内野手,5,0,5,37,6,36
太田 椋,オリックス,2021,内野手,43,9,43,116,17,108
大下 誠一郎,オリックス,2021,内野手,7,1,7,20,3,18
大城 滉二,オリックス,2021,内野手,22,5,18,49,6,43
中川 圭太,オリックス,2021,内野手,60,7,57,109,26,99
頓宮 裕真,オリックス,2021,捕手,34,6,29,91,20,83
伏見 寅威,オリックス,2021,捕手,55,7,48,207,45,190
福田 周平,オリックス,2021,内野手,106,25,94,365,87,314
来田 涼斗,オリックス,2021,外野手,4,2,4,71,13,67
アルバレス,ソフトバンク,2021,外野手,12,0,10,28,6,27
グラシアル,ソフトバンク,2021,内野手,42,8,35,108,34,103
デスパイネ,ソフトバンク,2021,外野手,79,13,63,229,56,198
リチャード,ソフトバンク,2021,内野手,29,4,26,87,15,79
海野 隆司,ソフトバンク,2021,捕手,,,,5,1,4
釜元 豪,ソフトバンク,2021,外野手,2,0,2,8,5,8
九鬼 隆平,ソフトバンク,2021,捕手,,,,2,1,2
栗原 陵矢,ソフトバンク,2021,捕手,161,40,137,434,106,394
甲斐 拓也,ソフトバンク,2021,捕手,114,20,100,365,72,305
今宮 健太,ソフトバンク,2021,内野手,115,22,102,298,56,263
佐藤 直樹,ソフトバンク,2021,外野手,2,0,1,9,0,8
三森 大貴,ソフトバンク,2021,内野手,82,30,76,263,52,253
周東 佑京,ソフトバンク,2021,内野手,37,7,32,151,27,137
松田 宣浩,ソフトバンク,2021,内野手,92,23,80,297,60,274
上林 誠知,ソフトバンク,2021,外野手,5,2,4,67,11,64
真砂 勇介,ソフトバンク,2021,外野手,47,13,45,77,16,69
川瀬 晃,ソフトバンク,2021,内野手,3,1,2,27,4,25
川島 慶三,ソフトバンク,2021,内野手,77,13,67,45,13,42
谷川原 健太,ソフトバンク,2021,捕手,10,0,9,47,7,39
中村 晃,ソフトバンク,2021,外野手,148,31,129,404,82,333
牧原 大成,ソフトバンク,2021,内野手,62,14,56,230,62,217
明石 健志,ソフトバンク,2021,内野手,9,3,8,86,14,76
野村 大樹,ソフトバンク,2021,内野手,6,1,6,13,2,11
柳町 達,ソフトバンク,2021,外野手,2,0,2,52,11,46
柳田 悠岐,ソフトバンク,2021,外野手,172,50,159,415,105,357
髙谷 裕亮,ソフトバンク,2021,捕手,3,0,3,14,4,14
髙田 知季,ソフトバンク,2021,内野手,6,0,4,11,2,8
オスナ,ヤクルト,2021,内野手,156,43,138,338,78,331
サンタナ,ヤクルト,2021,外野手,121,34,110,296,74,262
塩見 泰隆,ヤクルト,2021,外野手,173,49,162,360,83,312
奥村 展征,ヤクルト,2021,内野手,4,1,4,17,0,16
吉田 大成,ヤクルト,2021,内野手,15,1,10,37,8,30
元山 飛優,ヤクルト,2021,内野手,35,9,30,198,44,179
古賀 優大,ヤクルト,2021,捕手,36,8,35,89,18,81
荒木 貴裕,ヤクルト,2021,内野手,35,5,29,32,6,26
坂口 智隆,ヤクルト,2021,外野手,21,4,18,36,4,32
山崎 晃大朗,ヤクルト,2021,外野手,68,13,60,177,40,155
山田 哲人,ヤクルト,2021,内野手,188,49,159,393,85,334
松本 友,ヤクルト,2021,内野手,2,1,2,38,11,32
西浦 直亨,ヤクルト,2021,内野手,122,25,107,151,29,135
西田 明央,ヤクルト,2021,捕手,9,1,9,10,1,9
青木 宣親,ヤクルト,2021,外野手,179,45,161,321,70,285
川端 慎吾,ヤクルト,2021,内野手,13,4,12,79,28,74
村上 宗隆,ヤクルト,2021,内野手,206,56,177,406,83,324
太田 賢吾,ヤクルト,2021,内野手,13,2,13,66,14,59
中山 翔太,ヤクルト,2021,外野手,9,1,7,5,0,4
中村 悠平,ヤクルト,2021,捕手,135,34,116,310,71,261
長岡 秀樹,ヤクルト,2021,内野手,1,0,1,9,0,8
渡邉 大樹,ヤクルト,2021,外野手,16,2,13,26,4,22
嶋 基宏,ヤクルト,2021,捕手,4,0,2,11,2,8
内山 壮真,ヤクルト,2021,捕手,3,0,2,3,0,3
内川 聖一,ヤクルト,2021,内野手,22,5,20,33,6,33
武岡 龍世,ヤクルト,2021,内野手,,,,4,1,4
並木 秀尊,ヤクルト,2021,外野手,2,0,1,4,1,3
雄平,ヤクルト,2021,外野手,1,1,1,1,0,1
エチェバリア,ロッテ,2021,内野手,55,10,52,161,32,155
マーティン,ロッテ,2021,外野手,133,25,115,364,72,301
レアード,ロッテ,2021,内野手,125,35,113,419,92,372
安田 尚憲,ロッテ,2021,内野手,99,19,90,301,66,262
井上 晴哉,ロッテ,2021,内野手,6,1,6,47,9,45
岡 大海,ロッテ,2021,外野手,63,14,56,121,25,105
荻野 貴司,ロッテ,2021,外野手,155,47,139,488,122,431
加藤 匠馬,ロッテ,2021,捕手,32,2,26,91,8,79
柿沼 友哉,ロッテ,2021,捕手,14,1,8,51,6,41
角中 勝也,ロッテ,2021,外野手,71,14,58,253,53,217
吉田 裕太,ロッテ,2021,捕手,5,0,4,5,1,5
江村 直也,ロッテ,2021,捕手,3,0,1,7,1,5
佐藤 都志也,ロッテ,2021,捕手,26,1,23,128,26,109
三木 亮,ロッテ,2021,内野手,3,1,2,8,0,7
山口 航輝,ロッテ,2021,外野手,70,14,63,158,28,140
宗接 唯人,ロッテ,2021,捕手,,,,1,0,1
小窪 哲也,ロッテ,2021,内野手,7,1,7,12,0,11
小川 龍成,ロッテ,2021,内野手,1,0,1,5,0,5
菅野 剛士,ロッテ,2021,外野手,13,2,11,62,11,56
中村 奨吾,ロッテ,2021,内野手,150,33,125,464,110,381
鳥谷 敬,ロッテ,2021,内野手,20,3,18,41,6,35
田村 龍弘,ロッテ,2021,捕手,50,10,44,115,22,92
藤岡 裕大,ロッテ,2021,内野手,130,27,122,362,83,310
藤原 恭大,ロッテ,2021,外野手,59,8,51,195,39,166
福田 秀平,ロッテ,2021,外野手,,,,13,1,12
和田 康士朗,ロッテ,2021,外野手,4,0,4,20,5,15
髙部 瑛斗,ロッテ,2021,外野手,11,2,10,58,6,45
髙濱 卓也,ロッテ,2021,内野手,1,0,1,8,1,7
オコエ 瑠偉,楽天,2021,外野手,25,3,23,86,18,72
カスティーヨ,楽天,2021,外野手,29,9,28,46,7,43
ディクソン,楽天,2021,内野手,45,5,40,78,13,68
横尾 俊建,楽天,2021,内野手,29,3,25,39,8,36
岡島 豪郎,楽天,2021,外野手,166,42,154,341,87,307
下妻 貴寛,楽天,2021,捕手,9,2,9,18,2,14
下水流 昂,楽天,2021,外野手,5,1,5,5,0,5
岩見 雅紀,楽天,2021,外野手,4,0,3,4,1,4
銀次,楽天,2021,内野手,42,10,39,62,16,52
黒川 史陽,楽天,2021,内野手,12,3,10,68,11,65
山﨑 剛,楽天,2021,内野手,63,10,58,130,33,110
小郷 裕哉,楽天,2021,外野手,22,4,20,66,10,57
小深田 大翔,楽天,2021,内野手,157,29,128,298,68,263
浅村 栄斗,楽天,2021,内野手,192,45,163,398,85,320
足立 祐一,楽天,2021,捕手,9,0,7,11,1,10
村林 一輝,楽天,2021,内野手,23,4,20,24,2,20
太田 光,楽天,2021,捕手,101,16,87,180,29,153
辰己 涼介,楽天,2021,外野手,142,25,124,301,59,250
炭谷 銀仁朗,楽天,2021,捕手,54,13,49,123,19,104
田中 貴也,楽天,2021,捕手,8,0,7,35,10,31
田中 和基,楽天,2021,外野手,36,8,31,31,0,28
渡邊 佳明,楽天,2021,内野手,31,4,26,82,23,73
島内 宏明,楽天,2021,外野手,209,49,171,389,76,315
内田 靖人,楽天,2021,内野手,25,6,22,35,5,32
武藤 敦貴,楽天,2021,外野手,,,,19,2,19
茂木 栄五郎,楽天,2021,内野手,170,37,149,296,69,261
鈴木 大地,楽天,2021,内野手,226,58,196,402,95,356
和田 恋,楽天,2021,外野手,6,2,5,3,0,3
ウィーラー,巨人,2021,内野手,166,36,145,260,75,239
ウレーニャ,巨人,2021,内野手,2,0,2,3,0,3
ハイネマン,巨人,2021,外野手,13,1,11,15,3,14
岡本 和真,巨人,2021,内野手,182,42,161,406,96,360
梶谷 隆幸,巨人,2021,外野手,78,20,70,168,44,157
丸 佳浩,巨人,2021,外野手,145,31,126,312,73,266
岸田 行倫,巨人,2021,捕手,16,4,15,8,0,7
亀井 善行,巨人,2021,外野手,32,4,30,174,36,156
吉川 尚輝,巨人,2021,内野手,81,17,76,246,66,229
香月 一也,巨人,2021,内野手,5,1,4,62,11,55
坂本 勇人,巨人,2021,内野手,160,44,141,323,71,283
若林 晃弘,巨人,2021,内野手,64,9,53,178,42,160
秋広 優人,巨人,2021,内野手,,,,1,0,1
重信 慎之介,巨人,2021,外野手,8,1,7,78,16,71
小林 誠司,巨人,2021,捕手,47,5,46,32,2,29
松原 聖弥,巨人,2021,外野手,151,29,135,327,89,297
石川 慎吾,巨人,2021,外野手,39,7,35,2,0,2
増田 大輝,巨人,2021,内野手,9,0,8,16,3,14
大城 卓三,巨人,2021,捕手,97,17,89,285,63,258
中田 翔,巨人,2021,内野手,94,17,82,162,23,144
中島 宏之,巨人,2021,内野手,82,22,76,112,27,105
湯浅 大,巨人,2021,内野手,9,5,9,4,0,4
八百板 卓丸,巨人,2021,外野手,,,,12,2,12
北村 拓己,巨人,2021,内野手,48,10,43,54,13,49
陽 岱鋼,巨人,2021,外野手,6,1,6,1,0,1
立岡 宗一郎,巨人,2021,外野手,3,1,2,44,8,42
廣岡 大志,巨人,2021,内野手,81,13,74,36,7,32
クロン,広島,2021,内野手,39,11,35,98,19,95
メヒア,広島,2021,内野手,20,5,17,20,3,20
安部 友裕,広島,2021,内野手,20,4,19,148,34,132
磯村 嘉孝,広島,2021,捕手,18,2,17,21,4,18
宇草 孔基,広島,2021,外野手,61,19,57,97,24,91
羽月 隆太郎,広島,2021,内野手,26,5,22,91,21,80
菊池 涼介,広島,2021,内野手,168,46,154,372,91,340
坂倉 将吾,広島,2021,捕手,149,44,136,335,89,286
三好 匠,広島,2021,内野手,8,0,7,5,0,4
小園 海斗,広島,2021,内野手,169,49,157,311,85,292
松山 竜平,広島,2021,外野手,53,14,49,141,32,126
上本 崇司,広島,2021,内野手,36,6,31,32,9,24
正隨 優弥,広島,2021,外野手,23,3,22,4,0,4
西川 龍馬,広島,2021,外野手,188,43,167,362,101,337
石原 貴規,広島,2021,捕手,59,15,55,65,12,58
曽根 海成,広島,2021,内野手,1,0,1,5,0,4
大盛 穂,広島,2021,外野手,6,1,6,35,9,31
中村 奨成,広島,2021,捕手,39,10,35,22,5,18
長野 久義,広島,2021,外野手,78,17,74,63,10,52
田中 広輔,広島,2021,内野手,49,10,40,111,18,96
堂林 翔太,広島,2021,内野手,71,11,68,72,15,69
野間 峻祥,広島,2021,外野手,88,21,78,182,47,172
矢野 雅哉,広島,2021,内野手,1,0,1,5,0,5
林 晃汰,広島,2021,内野手,122,27,114,252,68,243
鈴木 誠也,広島,2021,外野手,166,44,133,362,94,302
會澤 翼,広島,2021,捕手,52,15,48,151,31,132
サンズ,阪神,2021,外野手,163,31,139,299,70,271
マルテ,阪神,2021,内野手,179,45,153,346,70,293
ロハス・ジュニア,阪神,2021,外野手,64,9,61,142,32,128
近本 光司,阪神,2021,外野手,239,69,223,373,109,346
熊谷 敬宥,阪神,2021,内野手,4,0,4,2,0,1
原口 文仁,阪神,2021,捕手,29,3,22,29,7,27
江越 大賀,阪神,2021,外野手,2,0,2,1,0,1
佐藤 輝明,阪神,2021,内野手,164,38,154,287,63,271
坂本 誠志郎,阪神,2021,捕手,30,5,27,43,7,38
山本 泰寛,阪神,2021,内野手,36,7,32,15,1,11
糸井 嘉男,阪神,2021,外野手,22,2,19,97,20,87
糸原 健斗,阪神,2021,内野手,182,42,164,306,84,277
小幡 竜平,阪神,2021,内野手,2,1,2,23,5,21
小野寺 暖,阪神,2021,外野手,51,9,45,22,3,22
植田 海,阪神,2021,内野手,3,2,3,4,0,3
大山 悠輔,阪神,2021,内野手,179,51,163,332,70,303
中野 拓夢,阪神,2021,内野手,196,44,174,325,83,292
島田 海吏,阪神,2021,外野手,15,0,12,63,17,58
梅野 隆太郎,阪神,2021,捕手,162,29,136,293,62,268
板山 祐太郎,阪神,2021,外野手,2,0,2,15,2,12
北條 史也,阪神,2021,内野手,36,8,32,21,2,18
木浪 聖也,阪神,2021,内野手,28,5,22,104,22,97
陽川 尚将,阪神,2021,内野手,27,4,27,24,4,19
スパンジェンバーグ,西武,2021,内野手,72,17,62,140,25,119
ブランドン,西武,2021,内野手,32,9,30,52,11,51
愛斗,西武,2021,外野手,87,16,78,229,48,214
岡田 雅利,西武,2021,捕手,21,4,14,34,1,28
外崎 修汰,西武,2021,内野手,70,13,62,230,43,192
岸 潤一郎,西武,2021,外野手,85,16,74,253,51,230
金子 侑司,西武,2021,外野手,53,8,49,167,30,149
熊代 聖人,西武,2021,外野手,4,2,3,5,0,4
栗山 巧,西武,2021,外野手,111,22,99,336,75,289
源田 壮亮,西武,2021,内野手,126,32,114,390,94,350
戸川 大輔,西武,2021,外野手,3,0,2,15,1,15
呉 念庭,西武,2021,内野手,124,28,112,353,73,313
綱島 龍生,西武,2021,内野手,,,,3,0,3
高木 渉,西武,2021,外野手,5,0,5,12,1,10
山川 穂高,西武,2021,内野手,101,22,85,313,61,273
山田 遥楓,西武,2021,内野手,49,10,40,124,19,107
山野辺 翔,西武,2021,内野手,9,3,8,30,4,28
若林 楽人,西武,2021,外野手,37,7,33,124,33,111
森 友哉,西武,2021,捕手,134,36,115,385,97,316
西川 愛也,西武,2021,外野手,,,,27,0,20
川越 誠司,西武,2021,外野手,32,7,28,142,29,132
中村 剛也,西武,2021,内野手,91,20,81,382,102,349
柘植 世那,西武,2021,捕手,19,5,17,53,9,48
渡部 健人,西武,2021,内野手,4,1,4,13,0,12
平沼 翔太,西武,2021,内野手,19,4,17,79,12,68
鈴木 将平,西武,2021,外野手,3,0,1,39,6,37
A.マルティネス,中日,2021,捕手,33,5,30,60,15,52
ビシエド,中日,2021,内野手,147,33,135,372,99,345
阿部 寿樹,中日,2021,内野手,44,5,38,196,40,177
伊藤 康祐,中日,2021,外野手,9,1,8,12,0,11
井領 雅貴,中日,2021,外野手,15,4,14,53,10,50
岡林 勇希,中日,2021,外野手,29,6,28,33,9,31
加藤 翔平,中日,2021,外野手,63,13,57,110,19,95
京田 陽太,中日,2021,内野手,153,34,143,295,71,266
郡司 裕也,中日,2021,捕手,6,3,5,9,3,8
桂 依央利,中日,2021,捕手,25,4,25,50,14,46
溝脇 隼人,中日,2021,内野手,9,1,9,37,10,32
高橋 周平,中日,2021,内野手,160,28,148,358,95,327
根尾 昂,中日,2021,内野手,53,7,45,135,23,124
三ツ俣 大樹,中日,2021,内野手,50,10,40,88,16,77
山下 斐紹,中日,2021,捕手,,,,10,1,10
石岡 諒太,中日,2021,内野手,,,,11,1,11
石垣 雅海,中日,2021,内野手,6,1,5,5,0,5
石橋 康太,中日,2021,捕手,4,0,4,12,2,10
大島 洋平,中日,2021,外野手,199,56,179,392,104,369
大野 奨太,中日,2021,捕手,5,0,5,10,2,9
滝野 要,中日,2021,外野手,2,0,2,28,3,27
渡辺 勝,中日,2021,外野手,51,12,50,83,13,69
土田 龍空,中日,2021,内野手,2,1,2,5,1,3
藤井 淳志,中日,2021,外野手,,,,1,0,1
堂上 直倫,中日,2021,内野手,86,15,78,148,33,141
武田 健吾,中日,2021,外野手,14,2,12,27,3,26
福田 永将,中日,2021,内野手,106,18,89,200,50,191
福留 孝介,中日,2021,外野手,46,10,43,169,32,150
平田 良介,中日,2021,外野手,15,3,14,47,6,44
木下 拓哉,中日,2021,捕手,104,17,89,288,78,264
髙松 渡,中日,2021,内野手,27,3,25,96,25,87
R.ロドリゲス,日本ハム,2021,内野手,26,3,25,98,21,96
宇佐見 真吾,日本ハム,2021,捕手,12,0,10,45,5,33
宮田 輝星,日本ハム,2021,外野手,1,0,1,1,0,1
近藤 健介,日本ハム,2021,外野手,158,50,137,385,83,310
郡 拓也,日本ハム,2021,捕手,29,6,28,48,7,41
五十幡 亮汰,日本ハム,2021,外野手,16,4,15,68,14,65
今川 優馬,日本ハム,2021,外野手,13,2,13,17,0,15
佐藤 龍世,日本ハム,2021,内野手,35,11,31,95,14,87
松本 剛,日本ハム,2021,外野手,38,11,35,66,13,57
上野 響平,日本ハム,2021,内野手,1,0,1,1,0,1
杉谷 拳士,日本ハム,2021,内野手,25,1,21,69,8,57
清水 優心,日本ハム,2021,捕手,71,15,59,185,29,155
石井 一成,日本ハム,2021,内野手,69,15,59,252,49,225
石川 亮,日本ハム,2021,捕手,26,2,24,98,18,85
大田 泰示,日本ハム,2021,外野手,61,11,59,144,28,132
谷内 亮太,日本ハム,2021,内野手,12,3,10,32,4,29
中島 卓也,日本ハム,2021,内野手,27,2,25,90,16,72
鶴岡 慎也,日本ハム,2021,捕手,5,2,4,15,3,15
田宮 裕涼,日本ハム,2021,捕手,,,,1,0,1
渡邉 諒,日本ハム,2021,内野手,77,18,65,247,50,216
万波 中正,日本ハム,2021,外野手,38,8,36,95,17,90
木村 文紀,日本ハム,2021,外野手,36,10,33,56,2,46
野村 佑希,日本ハム,2021,内野手,103,21,95,291,78,276
淺間 大基,日本ハム,2021,外野手,96,22,91,361,81,320
オースティン,DeNA,2022,外野手,6,0,6,31,5,26
ソト,DeNA,2022,内野手,100,18,90,311,80,278
伊藤 光,DeNA,2022,捕手,24,8,22,76,18,72
益子 京右,DeNA,2022,捕手,,,,2,0,1
蝦名 達夫,DeNA,2022,外野手,66,16,61,115,23,97
梶原 昂希,DeNA,2022,外野手,4,0,4,11,4,11
関根 大気,DeNA,2022,外野手,58,18,54,167,33,147
宮本 秀明,DeNA,2022,外野手,,,,39,5,36
宮﨑 敏郎,DeNA,2022,内野手,122,33,109,353,97,325
桑原 将志,DeNA,2022,外野手,149,37,127,381,85,349
戸柱 恭孝,DeNA,2022,捕手,23,7,22,128,31,122
佐野 恵太,DeNA,2022,外野手,173,52,163,398,109,363
細川 成也,DeNA,2022,外野手,10,1,9,10,0,10
山下 幸輝,DeNA,2022,内野手,1,0,1,11,1,11
山本 祐大,DeNA,2022,捕手,7,0,6,24,3,23
柴田 竜拓,DeNA,2022,内野手,33,5,27,163,28,142
森 敬斗,DeNA,2022,内野手,22,3,21,145,33,133
神里 和毅,DeNA,2022,外野手,18,4,16,89,14,79
倉本 寿彦,DeNA,2022,内野手,1,0,1,53,9,51
大田 泰示,DeNA,2022,外野手,61,16,57,92,24,87
大和,DeNA,2022,内野手,109,29,101,168,35,158
知野 直人,DeNA,2022,内野手,8,1,7,6,1,6
田中 俊太,DeNA,2022,内野手,1,0,1,18,3,18
田部 隼人,DeNA,2022,内野手,4,0,4,1,0,0
藤田 一也,DeNA,2022,内野手,2,1,2,38,8,34
楠本 泰史,DeNA,2022,外野手,76,13,58,251,58,224
牧 秀悟,DeNA,2022,内野手,135,33,120,430,115,390
嶺井 博希,DeNA,2022,捕手,80,15,79,180,35,166
T-岡田,オリックス,2022,外野手,8,2,6,87,11,81
バレラ,オリックス,2022,内野手,40,8,37,86,15,74
マッカーシー,オリックス,2022,外野手,30,7,25,182,33,153
ラベロ,オリックス,2022,内野手,39,5,31,32,3,27
安達 了一,オリックス,2022,内野手,65,16,53,180,38,155
宜保 翔,オリックス,2022,内野手,1,0,1,33,5,28
吉田 正尚,オリックス,2022,外野手,145,44,122,348,94,290
元 謙太,オリックス,2022,外野手,4,1,3,5,1,5
紅林 弘太郎,オリックス,2022,内野手,132,29,120,362,72,330
佐野 如一,オリックス,2022,外野手,,,,3,0,3
佐野 皓大,オリックス,2022,外野手,83,18,76,35,6,31
山足 達也,オリックス,2022,内野手,20,3,18,31,5,26
若月 健矢,オリックス,2022,捕手,38,14,34,155,34,137
宗 佑磨,オリックス,2022,内野手,161,34,141,375,93,328
小田 裕也,オリックス,2022,外野手,1,0,1,25,5,23
松井 雅人,オリックス,2022,捕手,,,,1,0,1
杉本 裕太郎,オリックス,2022,外野手,106,15,99,325,74,281
西村 凌,オリックス,2022,外野手,18,6,18,29,0,27
西野 真弘,オリックス,2022,内野手,12,0,9,118,33,105
石岡 諒太,オリックス,2022,内野手,12,4,10,52,10,48
太田 椋,オリックス,2022,内野手,36,5,32,65,13,60
大下 誠一郎,オリックス,2022,内野手,4,1,3,6,1,5
大城 滉二,オリックス,2022,内野手,45,11,37,65,11,53
池田 陵真,オリックス,2022,外野手,6,0,6,14,3,14
中川 圭太,オリックス,2022,内野手,140,32,125,327,88,300
渡部 遼人,オリックス,2022,外野手,3,0,3,16,1,14
頓宮 裕真,オリックス,2022,捕手,87,21,77,184,32,157
伏見 寅威,オリックス,2022,捕手,73,17,58,162,30,147
福永 奨,オリックス,2022,捕手,,,,8,1,8
福田 周平,オリックス,2022,外野手,152,36,141,350,84,307
野口 智哉,オリックス,2022,内野手,39,8,37,127,27,118
来田 涼斗,オリックス,2022,外野手,5,0,3,22,3,20
ガルビス,ソフトバンク,2022,内野手,38,5,32,92,14,79
グラシアル,ソフトバンク,2022,内野手,124,29,111,262,65,236
デスパイネ,ソフトバンク,2022,外野手,102,21,94,228,59,203
リチャード,ソフトバンク,2022,内野手,32,6,26,38,4,37
海野 隆司,ソフトバンク,2022,捕手,9,1,9,33,6,33
栗原 陵矢,ソフトバンク,2022,外野手,12,2,10,8,4,7
甲斐 拓也,ソフトバンク,2022,捕手,132,16,105,274,42,219
黒瀬 健太,ソフトバンク,2022,内野手,8,1,6,7,1,6
今宮 健太,ソフトバンク,2022,内野手,156,57,141,355,76,310
佐藤 直樹,ソフトバンク,2022,外野手,22,2,18,13,2,13
三森 大貴,ソフトバンク,2022,内野手,125,38,116,312,63,277
周東 佑京,ソフトバンク,2022,内野手,86,22,78,232,55,210
松田 宣浩,ソフトバンク,2022,内野手,62,9,56,44,11,42
上林 誠知,ソフトバンク,2022,外野手,12,3,11,88,25,82
真砂 勇介,ソフトバンク,2022,外野手,17,2,17,13,0,12
正木 智也,ソフトバンク,2022,外野手,49,12,41,31,5,26
川原田 純平,ソフトバンク,2022,内野手,,,,1,0,1
川瀬 晃,ソフトバンク,2022,内野手,12,1,9,94,24,81
増田 珠,ソフトバンク,2022,内野手,13,2,12,32,8,27
谷川原 健太,ソフトバンク,2022,捕手,11,2,8,64,13,56
中村 晃,ソフトバンク,2022,外野手,118,16,98,316,80,281
中谷 将大,ソフトバンク,2022,外野手,19,3,18,11,3,10
渡邉 陸,ソフトバンク,2022,捕手,3,1,3,33,8,30
牧原 大成,ソフトバンク,2022,内野手,102,30,98,339,93,311
明石 健志,ソフトバンク,2022,内野手,1,0,0,34,5,30
野村 大樹,ソフトバンク,2022,内野手,26,6,25,49,10,45
野村 勇,ソフトバンク,2022,内野手,91,21,81,112,22,99
柳町 達,ソフトバンク,2022,外野手,71,16,67,293,73,254
柳田 悠岐,ソフトバンク,2022,外野手,157,37,141,328,83,296
髙田 知季,ソフトバンク,2022,内野手,4,1,4,9,2,9
オスナ,ヤクルト,2022,内野手,165,46,151,361,89,345
キブレハン,ヤクルト,2022,外野手,43,10,42,44,10,41
サンタナ,ヤクルト,2022,外野手,67,13,57,148,39,132
塩見 泰隆,ヤクルト,2022,外野手,171,42,155,396,98,353
奥村 展征,ヤクルト,2022,内野手,11,1,11,33,5,30
丸山 和郁,ヤクルト,2022,外野手,21,4,18,76,17,72
宮本 丈,ヤクルト,2022,内野手,20,3,17,114,26,97
元山 飛優,ヤクルト,2022,内野手,5,0,5,23,4,22
古賀 優大,ヤクルト,2022,捕手,25,3,23,51,10,48
荒木 貴裕,ヤクルト,2022,内野手,13,1,9,15,2,13
坂口 智隆,ヤクルト,2022,外野手,6,1,6,41,11,37
山崎 晃大朗,ヤクルト,2022,外野手,107,23,92,272,65,250
山田 哲人,ヤクルト,2022,内野手,160,34,136,379,80,333
松本 直樹,ヤクルト,2022,捕手,5,2,5,15,2,15
松本 友,ヤクルト,2022,内野手,3,2,3,16,4,14
西浦 直亨,ヤクルト,2022,内野手,11,1,10,4,0,4
西田 明央,ヤクルト,2022,捕手,4,0,4,9,4,9
青木 宣親,ヤクルト,2022,外野手,67,16,50,190,39,173
赤羽 由紘,ヤクルト,2022,内野手,4,1,3,8,0,7
川端 慎吾,ヤクルト,2022,内野手,9,1,8,54,9,49
村上 宗隆,ヤクルト,2022,内野手,196,56,162,396,99,325
太田 賢吾,ヤクルト,2022,内野手,17,7,14,114,25,104
中村 悠平,ヤクルト,2022,捕手,93,16,77,214,54,189
長岡 秀樹,ヤクルト,2022,内野手,163,34,152,384,89,359
渡邉 大樹,ヤクルト,2022,外野手,4,1,4,13,1,12
嶋 基宏,ヤクルト,2022,捕手,,,,2,0,2
内山 壮真,ヤクルト,2022,捕手,62,11,54,135,30,123
内川 聖一,ヤクルト,2022,内野手,15,4,14,2,0,2
武岡 龍世,ヤクルト,2022,内野手,8,2,7,10,5,10
並木 秀尊,ヤクルト,2022,外野手,14,2,13,9,2,9
濱田 太貴,ヤクルト,2022,外野手,69,15,66,79,14,75
エチェバリア,ロッテ,2022,内野手,71,20,69,186,34,174
