所属正式名,選手名,主ポジション,登板,先発,完投,完封勝,無四球,勝利,敗北,セーブ,ホールド,HP,投球回,防御率,WHIP,勝率,打者,安打,被打率,失点,自責点,被本塁打,奪三振,与四球,故意四,与死球,暴投,ボーク
オリックス・バファローズ,ジェリー,投手,5,5,0,0,0,1,1,0,0,0,31,1.16,0.903,0.5,120,21,0.175,4,4,0,23,7,0,1,1,0
オリックス・バファローズ,阿部 翔太,投手,1,0,0,0,0,0,0,0,0,0,0.2,40.5,6,0,6,4,0.6666666667,3,3,1,1,0,0,0,0,0
オリックス・バファローズ,宇田川 優希,投手,78,0,0,0,0,6,3,2,26,32,79.2,1.58,1.13,0.667,329,36,0.1094224924,17,14,4,98,54,3,2,4,0
オリックス・バファローズ,横山 楓,投手,7,0,0,0,0,1,1,0,1,2,6,3,1.333,0.5,27,6,0.2222222222,2,2,0,11,2,0,1,1,0
オリックス・バファローズ,岩嵜 翔,投手,362,58,5,2,0,35,34,11,113,131,653.1,3.49,1.215,0.507,2723,629,0.2309952259,277,253,58,479,165,2,20,14,0
オリックス・バファローズ,吉田 輝星,投手,119,14,0,0,0,7,9,0,23,29,143.2,5.26,1.469,0.438,628,149,0.2372611465,92,84,13,100,62,1,8,5,0
オリックス・バファローズ,宮城 大弥,投手,115,114,8,4,6,49,29,0,0,0,750,2.48,1.052,0.628,3029,631,0.2083195774,219,207,40,700,158,3,30,7,0
オリックス・バファローズ,九里 亜蓮,投手,285,220,12,7,5,82,75,0,6,13,1424.1,3.37,1.29,0.522,6021,1363,0.2263743564,593,533,121,1058,475,15,56,21,5
オリックス・バファローズ,権田 琉成,投手,9,0,0,0,0,1,0,0,0,1,11.1,5.56,1.588,1,52,16,0.3076923077,7,7,0,7,2,0,1,0,0
オリックス・バファローズ,古田島 成龍,投手,70,0,0,0,0,4,2,0,30,34,64,1.83,1.25,0.667,265,51,0.1924528302,15,13,3,57,29,2,2,1,0
オリックス・バファローズ,佐藤 一磨,投手,8,6,0,0,0,2,2,0,1,1,25,6.12,1.76,0.5,117,35,0.2991452991,21,17,6,18,9,0,2,1,0
オリックス・バファローズ,才木 海翔,投手,53,2,0,0,0,2,3,4,12,14,56.2,3.18,1.165,0.4,230,48,0.2086956522,22,20,3,51,18,0,0,5,0
オリックス・バファローズ,山岡 泰輔,投手,204,130,8,3,2,48,48,3,27,33,867.1,3.38,1.219,0.5,3604,799,0.2216981132,349,326,71,779,258,6,29,26,1
オリックス・バファローズ,山下 舜平大,投手,34,30,1,0,0,13,9,0,1,1,180.2,2.19,1.118,0.591,738,134,0.1815718157,49,44,8,215,68,0,10,10,1
オリックス・バファローズ,山口 廉王,投手,1,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0
オリックス・バファローズ,山田 修義,投手,314,22,0,0,0,14,24,0,76,88,364.1,3.78,1.35,0.368,1556,338,0.2172236504,173,153,27,327,154,6,10,4,0
オリックス・バファローズ,山﨑 颯一郎,投手,112,13,0,0,0,5,7,10,37,40,161,3.02,1.224,0.417,669,135,0.201793722,58,54,11,152,62,1,8,2,0
オリックス・バファローズ,寺西 成騎,投手,11,8,0,0,0,2,3,0,1,1,35.2,5.3,1.71,0.4,163,46,0.282208589,22,21,2,20,15,0,0,0,0
オリックス・バファローズ,小木田 敦也,投手,67,1,0,0,0,5,1,0,20,25,76.2,2.23,1.057,0.833,302,62,0.2052980132,23,19,5,61,19,0,0,2,0
オリックス・バファローズ,川瀬 堅斗,投手,31,1,0,0,0,1,2,0,3,4,42.1,3.61,1.488,0.333,189,43,0.2275132275,18,17,1,21,20,3,3,2,0
オリックス・バファローズ,前 佑囲斗,投手,6,0,0,0,0,0,0,0,0,0,7,5.14,1.714,0,33,9,0.2727272727,5,4,1,7,3,0,0,0,0
オリックス・バファローズ,曽谷 龍平,投手,51,48,1,0,1,16,21,0,0,0,266,3.25,1.267,0.432,1114,270,0.2423698384,108,96,11,246,67,1,10,6,0
オリックス・バファローズ,田嶋 大樹,投手,138,138,4,4,3,49,43,0,0,0,814.1,3.45,1.239,0.533,3422,762,0.2226767972,344,312,76,653,247,1,23,20,2
オリックス・バファローズ,東 晃平,投手,30,26,0,0,0,11,6,0,0,0,150,2.7,1.153,0.647,624,130,0.2083333333,50,45,6,98,43,1,14,3,0
オリックス・バファローズ,東松 快征,投手,7,2,0,0,0,0,2,0,0,0,10,10.8,2.3,0,53,17,0.320754717,13,12,0,9,6,0,0,0,0
オリックス・バファローズ,入山 海斗,投手,23,0,0,0,0,2,0,0,1,3,21.1,4.64,0.891,1,81,12,0.1481481481,11,11,3,18,7,1,0,3,1
オリックス・バファローズ,博志,投手,161,6,0,0,0,8,12,18,28,35,191,4.62,1.524,0.4,856,201,0.2348130841,105,98,18,125,90,4,10,1,1
オリックス・バファローズ,富山 凌雅,投手,99,0,0,0,0,2,3,0,29,31,89,4.04,1.303,0.4,385,77,0.2,44,40,9,67,39,1,5,1,0
オリックス・バファローズ,平野 佳寿,投手,700,68,14,7,1,56,78,250,156,194,1116.2,2.97,1.152,0.418,4579,1017,0.2221008954,398,369,85,999,269,6,22,36,3
オリックス・バファローズ,片山 楽生,投手,4,0,0,0,0,0,0,0,0,0,5.1,3.38,1.5,0,24,6,0.25,2,2,0,3,2,0,0,0,0
オリックス・バファローズ,本田 仁海,投手,96,3,0,0,0,6,6,2,30,36,112,4.66,1.42,0.5,492,117,0.237804878,63,58,11,101,42,3,5,4,1
オリックス・バファローズ,椋木 蓮,投手,26,8,0,0,0,3,4,0,4,5,55.1,4.72,1.428,0.429,244,62,0.2540983607,32,29,2,47,17,0,3,3,0
オリックス・バファローズ,齋藤 響介,投手,9,9,0,0,0,2,3,0,0,0,41.2,3.67,1.248,0.4,182,31,0.1703296703,20,17,2,31,21,0,4,1,0
オリックス・バファローズ,髙島 泰都,投手,43,15,0,0,0,4,3,0,4,4,117.1,3.84,1.321,0.571,503,117,0.2326043738,52,50,4,61,38,3,8,3,0
千葉ロッテマリーンズ,ジャクソン,投手,50,50,0,0,0,18,14,0,0,0,293.2,2.6,1.188,0.563,1223,243,0.1986917416,99,85,17,230,106,7,15,16,0
千葉ロッテマリーンズ,ロング,投手,13,0,0,0,0,0,1,0,7,7,12.2,1.42,0.868,0,49,11,0.2244897959,3,2,2,8,0,0,0,0,0
千葉ロッテマリーンズ,一條 力真,投手,1,0,0,0,0,0,0,0,0,0,1,9,3,0,6,1,0.1666666667,1,1,0,1,2,0,0,1,0
千葉ロッテマリーンズ,益田 直也,投手,769,0,0,0,0,34,56,248,174,208,742.2,2.96,1.177,0.378,3091,635,0.2054351343,276,244,55,678,239,22,25,41,0
千葉ロッテマリーンズ,横山 陸人,投手,156,3,0,0,0,7,9,25,48,54,162,3.06,1.16,0.438,679,131,0.1929307806,60,55,9,147,57,7,13,8,0
千葉ロッテマリーンズ,河村 説人,投手,28,13,0,0,0,8,2,0,0,0,81.2,3.2,1.335,0.8,350,74,0.2114285714,32,29,6,51,35,3,2,1,0
千葉ロッテマリーンズ,菊地 吏玖,投手,42,1,0,0,0,1,2,1,2,3,51.2,3.66,1.413,0.333,227,52,0.2290748899,24,21,10,46,21,2,2,4,0
千葉ロッテマリーンズ,吉川 悠斗,投手,2,1,0,0,0,1,0,0,0,0,9,6,1.222,1,41,5,0.1219512195,7,6,1,6,6,0,2,1,0
千葉ロッテマリーンズ,宮﨑 颯,投手,2,0,0,0,0,0,0,0,0,0,2,0,1.5,0,9,3,0.3333333333,0,0,0,2,0,0,0,0,0
千葉ロッテマリーンズ,高野 脩汰,投手,61,2,0,0,0,7,6,0,18,25,90.1,2.59,1.14,0.538,375,77,0.2053333333,29,26,7,99,26,2,2,6,0
千葉ロッテマリーンズ,坂井 遼,投手,1,0,0,0,0,0,0,0,1,1,1,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0
千葉ロッテマリーンズ,坂本 光士郎,投手,166,0,0,0,0,4,7,0,40,44,163.2,4.95,1.534,0.364,747,166,0.2222222222,100,90,22,145,85,6,16,10,0
千葉ロッテマリーンズ,種市 篤暉,投手,111,102,6,1,1,37,31,0,2,2,649.1,3.3,1.241,0.544,2738,590,0.215485756,262,238,54,672,216,2,30,26,1
千葉ロッテマリーンズ,小島 和哉,投手,155,155,8,3,3,53,57,0,0,0,939,3.6,1.273,0.482,3931,883,0.2246247774,407,376,92,653,312,2,32,14,1
千葉ロッテマリーンズ,小野 郁,投手,232,0,0,0,0,4,9,0,44,48,235,3.87,1.374,0.308,1025,224,0.2185365854,116,101,17,200,99,4,12,16,0
千葉ロッテマリーンズ,森 遼大朗,投手,10,8,0,0,0,1,5,0,0,0,41,6.8,1.634,0.167,192,52,0.2708333333,32,31,4,33,15,0,2,0,0
千葉ロッテマリーンズ,西野 勇士,投手,4,4,0,0,0,0,2,0,0,0,21.1,4.64,1.406,0,91,23,0.2527472527,11,11,3,14,7,0,0,0,0
千葉ロッテマリーンズ,石川 柊太,投手,204,145,4,3,0,60,48,0,8,17,925.1,3.46,1.223,0.556,3893,780,0.2003596198,388,356,101,768,352,3,75,21,1
千葉ロッテマリーンズ,早坂 響,投手,9,0,0,0,0,0,0,0,0,0,11,7.36,1.818,0,51,12,0.2352941176,9,9,1,4,8,0,0,2,0
千葉ロッテマリーンズ,大谷 輝龍,投手,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0.25,0,0,0,3,0,0,0,0,0
千葉ロッテマリーンズ,中森 俊介,投手,45,6,0,0,0,6,5,5,10,15,75.2,2.26,1.031,0.545,306,59,0.1928104575,19,19,3,61,19,2,5,1,0
千葉ロッテマリーンズ,中村 亮太,投手,3,0,0,0,0,0,0,0,0,0,3.2,29.45,4.636,0,28,14,0.5,12,12,3,2,3,0,1,0,0
千葉ロッテマリーンズ,田中 晴也,投手,6,6,0,0,0,1,3,0,0,0,33,5.18,1.424,0.25,149,34,0.2281879195,21,19,5,29,13,0,2,0,0
千葉ロッテマリーンズ,唐川 侑己,投手,349,190,17,6,6,82,77,0,64,76,1334.2,3.7,1.284,0.516,5655,1379,0.2438549956,594,548,109,857,335,9,53,12,7
千葉ロッテマリーンズ,東妻 勇輔,投手,126,0,0,0,0,4,4,0,24,28,123,4.1,1.553,0.5,551,135,0.2450090744,65,56,15,89,56,3,4,10,1
千葉ロッテマリーンズ,八木 彬,投手,69,0,0,0,0,4,1,0,7,11,76.2,4.46,1.33,0.8,328,82,0.25,38,38,9,62,20,2,4,3,0
千葉ロッテマリーンズ,本前 郁也,投手,21,20,0,0,0,4,4,0,0,1,98.2,4.65,1.53,0.5,440,106,0.2409090909,54,51,22,62,45,1,4,2,1
千葉ロッテマリーンズ,木村 優人,投手,22,8,2,1,0,3,2,1,5,6,68,3.31,1.103,0.6,281,57,0.2028469751,34,25,7,50,18,0,2,0,0
